Individual,Farmer ID,Farms,Age,Gender,Current employment status,"If ""other"" employment status, please describe",Income currency,Monthly Household Income (Gross),Highest Level of Education,Number of Years Living in Country,Year started gardening (in general),Number of years participated in this garden/farm,Year started participating in this farm/garden,"Since participating in garden/farm, amount of vegetables eaten per week","Since participating in garden/farm, amount of fruits eaten per week","Since participating in garden/farm, amount of meals prepared at home","Have you tried any food from the garden/farm (vegetables, herbs, or fruits) that you had never eaten previously?",Portions of vegetables or fruit eaten each day?,"During growing season, percentage of vegetables and fruits that household eats which come from the garden/farm?",Hours spent in garden/farm per week,"Of hours in the garden, # hours actively gardening",Fraction of time actively gardening,"Importance of having access to fresh vegetables, fruits, or herbs",Importance of learning new things,Importance of sharing what I know with others,Importance of being able to be outdoors,Importance of having a chance to interact with others,Importance of engaging in a fun activity,Importance of contributing to my community,Importance of saving money,Importance of relaxing or releasing stress,Importance of getting some physical exercise,Importance of improving the environment,Importance of changing the way food is produced,Importance of gaining employment skills,Other important motivation,"Importance of ""Other"" motivation",Effects of gardening/farming on my interactions with others,Effects of gardening/farming on my overall mood,Effects of gardening/farming on my diet and nutrition,Effects of gardening/farming on my physical well-being,Effects of gardening/farming on my self-confidence,Effects of gardening/farming on my employment prospects,"Effects of gardening/farming on my other daily activities (work, school, child care)",Other effects of gardening/farming on me,"Importance of ""Other"" effect",City,Record complete?
46,46,,22,Male,I don't want to answer,,,I don't want to answer,I don't want to answer,10-20 years,2019,Less than 1 year,,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,Don't know,35,8,22.90%,Very important,Very important,Fairly important,Fairly important,Neutral,Neutral,Neutral,Very important,Very important,Fairly important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,No effect at all,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,,,,No
47,47,,20,Male,I don't want to answer,,,I don't want to answer,High School,I don't want to answer,2019,Less than 1 year,,Increased a lot,Increased a lot,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,75%,,,NaN,Neutral,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not important at all,Fairly important,Fairly important,Very important,Fairly important,Very important,,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,Slight positive effect,,,,No
53,53,,20,Male,Fully employed,,,I don't want to answer,High School,>20 years,2019,Less than 1 year,,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,None (0%),8,7,87.50%,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,,,Strong positive effect,Slight positive effect,No effect at all,No effect at all,Slight positive effect,No effect at all,No effect at all,,,,No
14,14,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",23,Male,Fully employed,,Dollar,1001 - 1500,High School,,,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,01-Feb,25%,24,19,79.20%,Very important,Very important,Neutral,Fairly important,Very important,Fairly important,Very important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,,,No effect at all,No effect at all,Slight positive effect,Strong positive effect,No effect at all,Strong positive effect,Strong positive effect,,,New York,
43,43,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",20,Male,Fully employed,,Dollar,500 - 1000,High School,>20 years,2019,Less than 1 year,,Increased a lot,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,03-Apr,25%,40,25,62.50%,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight negative effect,,,New York,
44,44,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",20,Male,Fully employed,,Dollar,500 - 1000,High School,Always lived in this country,2019,Less than 1 year,,Remained about the same,Decreased a little,Increased a little,Tried 3 or more foods never eaten before,03-Apr,None (0%),38,34,89.50%,Very important,Very important,Very important,Neutral,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Teaching my brothers another lifestyle,Very important,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,No effect at all,,,New York,
45,45,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",22,Male,Unemployed,,Dollar,1001 - 1500,High School,Always lived in this country,2019,Less than 1 year,,Increased a lot,Increased a lot,Increased a lot,Tried 1-2 foods never eaten before,01-Feb,25%,40,30,75.00%,Very important,Very important,Neutral,Neutral,Fairly important,Very important,Neutral,Very important,Very important,Very important,Fairly important,Fairly important,Very important,,,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Strong positive effect,,,New York,
48,48,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",19,Other,Unemployed,,Dollar,1001 - 1500,High School,10-20 years,2019,Less than 1 year,,Increased a little,Remained about the same,Increased a little,Tried 3 or more foods never eaten before,03-Apr,50%,8,7,87.50%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,New York,
49,49,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",19,Female,Fully employed,,Dollar,1001 - 1500,University degree,Always lived in this country,2019,Less than 1 year,,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,03-Apr,All (100%),,,NaN,Very important,Very important,Neutral,Fairly important,Not so important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,,,Strong positive effect,No effect at all,Slight positive effect,Strong positive effect,No effect at all,Strong positive effect,Strong positive effect,,,New York,
50,50,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",19,Male,Unemployed,,Dollar,500 - 1000,High School,10-20 years,2019,Less than 1 year,,Increased a little,Increased a little,Increased a little,Tried 3 or more foods never eaten before,Don't know,50%,40,38,95.00%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Promoting health,Very important,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Tolerance,Strong positive effect,New York,
51,51,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",22,Male,Fully employed,,Dollar,500 - 1000,High School,>20 years,2019,Less than 1 year,,Increased a lot,Increased a lot,Increased a little,Tried 1-2 foods never eaten before,05-Jun,25%,45,30,66.70%,Very important,Very important,Very important,Very important,Neutral,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,,,New York,
52,52,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",23,Male,Fully employed,,Dollar,500 - 1000,High School,>20 years,,Less than 1 year,,Remained about the same,Increased a little,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,25%,30,12,40.00%,Very important,Very important,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Very important,Very important,Fairly important,Very important,Not important at all,Very important,,,Slight positive effect,Slight positive effect,Slight negative effect,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,,,New York,
54,54,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",21,Female,Fully employed,,Dollar,500 - 1000,High School,Always lived in this country,,,,Increased a little,Increased a lot,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,25%,39,5,12.80%,Very important,Neutral,Fairly important,Neutral,Fairly important,Very important,Neutral,Very important,,Very important,Very important,Very important,Very important,,,Slight positive effect,Strong negative effect,No effect at all,Slight positive effect,Slight positive effect,No effect at all,Strong positive effect,,,New York,
55,55,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",19,Male,Unemployed,,Dollar,500 - 1000,High School,1-3 years ,2019,Less than 1 year,,Increased a little,Remained about the same,Increased a little,No,01-Feb,None (0%),8,2,25.00%,Fairly important,Very important,Very important,Neutral,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Emotional growth,Very important,Strong positive effect,No effect at all,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,Slight positive effect,,,New York,
56,56,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",,Male,Unemployed,,Dollar,1001 - 1500,High School,10-20 years,2019,Less than 1 year,,Increased a lot,Increased a little,Remained about the same,Tried 3 or more foods never eaten before,05-Jun,None (0%),32,32,100.00%,Very important,Neutral,Fairly important,Neutral,Fairly important,Very important,Very important,Very important,Neutral,Very important,Fairly important,Neutral,Very important,,,Strong positive effect,Slight positive effect,Strong negative effect,Slight positive effect,Strong negative effect,Slight positive effect,Slight positive effect,,,New York,
57,57,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",22,Female,Fully employed,,Dollar,500 - 1000,University degree,Always lived in this country,2011,Less than 1 year,,Remained about the same,Remained about the same,Decreased a lot,No,01-Feb,None (0%),40,35,87.50%,Fairly important,Very important,Fairly important,Very important,Neutral,Fairly important,Neutral,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,,,Slight negative effect,Slight negative effect,No effect at all,No effect at all,Slight positive effect,Slight positive effect,Slight negative effect,,,New York,
58,58,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",22,Male,Fully employed,,Dollar,500 - 1000,High School,Always lived in this country,2019,Less than 1 year,,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,None (0%),,,NaN,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,No effect at all,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,New York,
59,59,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",23,Female,Part-time employment,,Dollar,I don't want to answer,University degree,>20 years,2019,Less than 1 year,,Increased a little,Increased a lot,Increased a little,Tried 3 or more foods never eaten before,03-Apr,25%,8,7,87.50%,Very important,Very important,Very important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Slight positive effect,No effect at all,Slight positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Slight negative effect,,,New York,
60,60,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",23,Female,Part-time employment,,Dollar,500 - 1000,High School,Always lived in this country,2019,Less than 1 year,,Increased a little,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,25%,40,32,80.00%,Very important,Very important,Very important,Neutral,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Neutral,Very important,Very important,,,Strong positive effect,Strong positive effect,Slight positive effect,Strong positive effect,Strong positive effect,No effect at all,Strong positive effect,,,New York,
61,61,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",22,Male,Fully employed,,Dollar,1001 - 1500,High School,>20 years,2019,Less than 1 year,,Increased a little,Increased a lot,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,25%,8,7,87.50%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Strong positive effect,Grit and dedication,Strong positive effect,New York,
62,62,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",21,Male,Fully employed,,Dollar,1001 - 1500,High School,Always lived in this country,2018,1-5 years,,Increased a little,Increased a little,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,None (0%),30,10,33.30%,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Very important,,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,Slight positive effect,,,New York,
63,63,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",22,Female,Unemployed,,Dollar,Less than 500,High School,10-20 years,2010,1-5 years,,Remained about the same,Increased a little,Remained about the same,Tried 3 or more foods never eaten before,03-Apr,25%,8,5,62.50%,Fairly important,Fairly important,Fairly important,Neutral,Fairly important,Fairly important,Fairly important,Very important,Neutral,Neutral,Fairly important,Fairly important,Fairly important,,,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,,,New York,
64,64,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",22,Female,"Unemployed,Full time student",,Dollar,1001 - 1500,High School,>20 years,2014,1-5 years,,Increased a little,Don't Know,Remained about the same,Tried 3 or more foods never eaten before,03-Apr,25%,40,30,75.00%,Fairly important,Very important,Very important,Neutral,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Very important,Neutral,Very important,,,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,Strong positive effect,Slight positive effect,Slight positive effect,,,New York,
65,65,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",23,Male,Unemployed,,Dollar,Less than 500,High School,Always lived in this country,2019,Less than 1 year,,Increased a little,Increased a little,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,25%,35,20,57.10%,Very important,Very important,Fairly important,Very important,Fairly important,Neutral,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Very important,,,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,,,New York,
66,66,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",21,Male,Unemployed,,Dollar,1001 - 1500,High School,I don't want to answer,2019,Less than 1 year,,Increased a little,Increased a little,Decreased a little,Tried 1-2 foods never eaten before,01-Feb,25%,8,8,100.00%,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Very important,Very important,Very important,Very important,Very important,Neutral,Very important,,,Slight positive effect,No effect at all,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,,,New York,
8,8,Cranbrook Community Food Garden,30,Male,Fully employed,,Pound,I don't want to answer,University degree,5-10 years,,more than 5 years but less than 10 years,2013,Decreased a little,Increased a little,Increased a little,Tried 3 or more foods never eaten before,01-Feb,,2,2,100.00%,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Not so important,Very important,Very important,Neutral,Introduce my kids to gardening,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,Strong negative effect,Slight positive effect,Community,,London,
9,9,Cranbrook Community Food Garden,60,Female,Retired,,,I don't want to answer,Vocational Training,Always lived in this country,,more than 5 years but less than 10 years,2011,Decreased a lot,Decreased a lot,Decreased a lot,No,None,None (0%),,,NaN,Not important at all,Not so important,Neutral,Fairly important,Fairly important,Very important,Very important,Neutral,Very important,Very important,Very important,Very important,Very important,,,Slight positive effect,Strong positive effect,No effect at all,Slight positive effect,Slight positive effect,Strong negative effect,Strong positive effect,,,London,
10,10,Cranbrook Community Food Garden,57,Female,Fully employed,,,I don't want to answer,University degree,Always lived in this country,1989,Less than 1 year,2018,Don't Know,Increased a little,Increased a little,Tried 1-2 foods never eaten before,05-Jun,None (0%),2,2,100.00%,Not so important,Fairly important,Fairly important,Fairly important,Fairly important,No response,Very important,No response,Very important,Very important,Very important,,Neutral,Just being in the space,,Strong positive effect,Strong positive effect,Slight positive effect,Strong positive effect,Slight positive effect,No effect at all,Strong positive effect,"Feel happier, well-being is better",,London,
11,11,Cranbrook Community Food Garden,33,Female,Fully employed,,,I don't want to answer,University degree,10-20 years,,more than 5 years but less than 10 years,2013,Remained about the same,Remained about the same,Increased a little,Tried 3 or more foods never eaten before,03-Apr,50%,10,6,60.00%,Fairly important,Not so important,Fairly important,Neutral,Neutral,Neutral,Not so important,Neutral,Neutral,Neutral,Neutral,Not so important,Not so important,,,No effect at all,No effect at all,No effect at all,No effect at all,No effect at all,No effect at all,No effect at all,,,London,
27,27,DE01 Osterbecke,41,Female,Fully employed,,Euro,2001 - 3000,University degree,Always lived in this country,2018,1-5 years,2018,Remained about the same,Increased a little,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,Don't know,20,6,30.00%,Very important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not important at all,Fairly important,Very important,Very important,Very important,Not important at all,,,Strong positive effect,Strong positive effect,Slight positive effect,Strong positive effect,No effect at all,No effect at all,Slight positive effect,,,Bochum,Yes
12,12,DE02 Carolinengl…k,51,Female,Homemaker not employed,,Euro,3001 - 4000,University degree,>20 years,2001,more than 10 years,2001,Increased a lot,Increased a lot,Decreased a lot,Tried 3 or more foods never eaten before,03-Apr,All (100%),50,25,50.00%,Very important,Fairly important,Fairly important,Very important,Neutral,Not so important,Fairly important,Not so important,Very important,Very important,Very important,Very important,Not so important,Variety preservaton,Very important,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,Relaxation,Strong positive effect,Bochum,Yes
13,13,DE02 Carolinengl…k,53,Male,Fully employed,,Euro,3001 - 4000,University degree,>20 years,2001,more than 10 years,2001,Increased a lot,Increased a lot,Decreased a lot,Tried 3 or more foods never eaten before,03-Apr,All (100%),50,25,50.00%,Very important,Fairly important,Fairly important,Very important,Neutral,Not so important,Fairly important,Not so important,Very important,Very important,Very important,Very important,Not so important,Variety preservaton,Very important,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,Relaxation,Strong positive effect,Bochum,Yes
93,93,DE03 Hansa ,75,Male,Retired,,Euro,1001 - 1500,Vocational Training,Always lived in this country,1974,more than 10 years,1974,Remained about the same,Increased a little,Don't Know,No,01-Feb,75%,20,15,75.00%,Very important,Fairly important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Not so important,Not so important,,,Strong positive effect,No effect at all,No effect at all,Slight positive effect,No effect at all,No effect at all,No effect at all,,,Dortmund,Yes
94,94,DE03 Hansa ,72,Female,Retired,,Euro,Less than 500,Vocational Training,Always lived in this country,,,,,,,,03-Apr,75%,,10,Infinity,Very important,,Fairly important,Very important,Very important,Very important,Fairly important,Not so important,Very important,Not so important,Not so important,Neutral,Not important at all,,,Strong positive effect,Slight positive effect,Strong positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,,,Dortmund,No
28,28,DE04 Hansa,75,Male,Retired,,Euro,1501 - 2000,Basic School,Always lived in this country,1988,more than 10 years,1989,Increased a lot,Increased a lot,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,All (100%),28,7,25.00%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important at all,Not so important,Very important,Fairly important,Neutral,Very important,taking over responsibility and being there for others,Very important,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,Slight positive effect,,,Dortmund,Yes
4,4,DE05 LWL-Garten,58,Male,"Part-time employment,Retired",,Euro,I don't want to answer,I don't want to answer,Always lived in this country,2004,more than 10 years,2004,Increased a lot,Increased a little,Remained about the same,Tried 3 or more foods never eaten before,Don't know,75%,25,10,40.00%,Very important,Very important,Neutral,Very important,Neutral,Not so important,Not important at all,Neutral,Very important,Very important,Very important,Not important at all,Not important at all,to have access to unpolluted food ,Very important,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,L］en,Yes
68,68,DE06 L》kenbeck,36,Male,Fully employed,,Euro,2001 - 3000,University degree,Always lived in this country,1990,1-5 years,2018,Increased a little,Increased a little,Remained about the same,No,03-Apr,All (100%),30,15,50.00%,Very important,Fairly important,Fairly important,Very important,Neutral,Fairly important,Fairly important,Neutral,Fairly important,Fairly important,Fairly important,Very important,Fairly important,,,,Strong positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,No effect at all,,,M］ster,Yes
69,69,DE06 L》kenbeck,31,Female,Fully employed,,Euro,2001 - 3000,University degree,>20 years,1995,1-5 years,2018,Increased a little,Increased a little,Remained about the same,No,03-Apr,All (100%),40,13,32.50%,Very important,Very important,Neutral,Very important,Neutral,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Fairly important,,,No effect at all,Strong positive effect,Slight positive effect,Strong positive effect,No effect at all,Slight positive effect,Slight positive effect,Partnership,Strong positive effect,M］ster,Yes
67,67,DE07 Am Erlenbusch,76,Male,Retired,,Euro,I don't want to answer,University degree,>20 years,1947,more than 10 years,2008,Remained about the same,Increased a lot,Remained about the same,No,03-Apr,75%,13,7,53.80%,Very important,Not important at all,Neutral,Very important,Neutral,Fairly important,Neutral,Not important at all,Fairly important,Very important,Very important,Very important,Not important at all,,,Slight positive effect,Strong positive effect,Slight positive effect,Strong positive effect,No effect at all,No effect at all,No effect at all,,,M］ster,Yes
6,6,DE08 Gro疇 Dahlkamp,48,Female,Fully employed,,Euro,1501 - 2000,University degree,>20 years,2004,more than 10 years,2004,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,01-Feb,50%,30,10,33.30%,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,Neutral,Not important at all,Very important,Very important,Neutral,Neutral,Neutral,,,Slight positive effect,Slight positive effect,No effect at all,Strong positive effect,No effect at all,No effect at all,No effect at all,,,M］ster,Yes
