Individual,Farmer ID,Farms,Age,Gender,Current employment status,"If ""other"" employment status, please describe",Income currency,Monthly Household Income (Gross),Highest Level of Education,Number of Years Living in Country,Year started gardening (in general),Number of years participated in this garden/farm,Year started participating in this farm/garden,"Since participating in garden/farm, amount of vegetables eaten per week","Since participating in garden/farm, amount of fruits eaten per week","Since participating in garden/farm, amount of meals prepared at home","Have you tried any food from the garden/farm (vegetables, herbs, or fruits) that you had never eaten previously?",Portions of vegetables or fruit eaten each day?,"During growing season, percentage of vegetables and fruits that household eats which come from the garden/farm?",Hours spent in garden/farm per week,"Of hours in the garden, # hours actively gardening",Fraction of time actively gardening,"Importance of having access to fresh vegetables, fruits, or herbs",Importance of learning new things,Importance of sharing what I know with others,Importance of being able to be outdoors,Importance of having a chance to interact with others,Importance of engaging in a fun activity,Importance of contributing to my community,Importance of saving money,Importance of relaxing or releasing stress,Importance of getting some physical exercise,Importance of improving the environment,Importance of changing the way food is produced,Importance of gaining employment skills,Other important motivation,"Importance of ""Other"" motivation",Effects of gardening/farming on my interactions with others,Effects of gardening/farming on my overall mood,Effects of gardening/farming on my diet and nutrition,Effects of gardening/farming on my physical well-being,Effects of gardening/farming on my self-confidence,Effects of gardening/farming on my employment prospects,"Effects of gardening/farming on my other daily activities (work, school, child care)",Other effects of gardening/farming on me,"Importance of ""Other"" effect",City,Record complete?
80,80,Tulipan 6,63,Female,Retired,,Euro,500 - 1000,Vocational Training,Always lived in this country,1985,more than 10 years,1985,Unable to answer because have participated in the garden for so long,Increased a lot,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,75%,20,15,75.00%,Very important,Fairly important,Neutral,Very important,Very important,Fairly important,Neutral,Not so important,Very important,Fairly important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,,,Gorzow Wlkp,
101,101,Tulipan 7,33,Female,Fully employed,,Euro,I don't want to answer,University degree,>20 years,2010,more than 5 years but less than 10 years,2010,Increased a lot,Increased a lot,Increased a little,Tried 1-2 foods never eaten before,01-Feb,50%,10,5,50.00%,Fairly important,Fairly important,Neutral,Very important,Fairly important,Neutral,Fairly important,Not so important,Fairly important,Fairly important,Very important,Very important,Fairly important,,,No effect at all,Slight positive effect,Slight positive effect,Strong positive effect,No effect at all,No effect at all,,,,Gorzow Wlkp,
102,102,Slade Gardens,30,Female,I don't want to answer,,Pound,I don't want to answer,University degree,<1 year,2019,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,None (0%),2,2,100.00%,Neutral,Very important,Neutral,Very important,Very important,Very important,Very important,Neutral,Very important,Very important,Very important,Neutral,Neutral,,,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,No effect at all,No effect at all,,,London,
103,103,Slade Gardens,70,Male,Retired,,Pound,I don't want to answer,High School,Always lived in this country,1950,more than 10 years,2009,Increased a lot,Increased a lot,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,25%,10,6,60.00%,Very important,Very important,Fairly important,No response,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Mental health,No response,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,London,
104,104,Slade Gardens,50,Male,Fully employed,,Pound,"more than 4,000",University degree,Always lived in this country,1994,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,No,05-Jun,25%,2,2,100.00%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Neutral,Fairly important,Fairly important,Very important,Very important,Not important at all,,,No effect at all,Slight positive effect,No effect at all,Slight positive effect,No effect at all,No effect at all,Slight negative effect,,,London,
105,105,Slade Gardens,22,Male,"Unemployed,Full time student",,Pound,500 - 1000,University degree,3-5 years ,2019,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,01-Feb,25%,5,4,80.00%,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Having time to garden,Very important,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,My networking,Strong positive effect,London,
70,70,Ustronie 1,36,Female,Fully employed,,Euro,500 - 1000,University degree,Always lived in this country,2009,more than 10 years,2009,Decreased a little,Increased a lot,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,25%,40,3,7.50%,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,Strong positive effect,,,Gorzow Wlkp,
72,72,Ustronie 2,49,Female,Fully employed,,Euro,500 - 1000,University degree,Always lived in this country,2018,1-5 years,2018,Increased a lot,Remained about the same,Remained about the same,No,01-Feb,25%,18,10,55.60%,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,,,Slight positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
74,74,Ustronie 3,65,Female,Retired,,Euro,Less than 500,High School,Always lived in this country,2002,more than 10 years,2002,Increased a lot,Increased a lot,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,75%,40,30,75.00%,Very important,Not so important,Fairly important,Very important,Very important,Neutral,Fairly important,Not so important,Very important,Fairly important,Fairly important,Fairly important,Neutral,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
71,71,Ustronie 4 ,62,Male,Fully employed,,Euro,500 - 1000,Vocational Training,Always lived in this country,1992,more than 10 years,1992,Increased a lot,Increased a lot,Remained about the same,Tried 3 or more foods never eaten before,7 or more,50%,48,4,8.30%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,Gorzow Wlkp,
73,73,Ustronie 5,64,Female,Retired,,Euro,Less than 500,Basic School,Always lived in this country,,more than 5 years but less than 10 years,,Increased a lot,Increased a lot,Remained about the same,No,03-Apr,75%,60,25,41.70%,Very important,Not so important,Fairly important,Very important,Very important,Neutral,Fairly important,Not so important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,,,Slight positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
41,41,"Bay View,Howard,Mariner's Harbor,Red Hook,Forest,Wagner",20,Male,Fully employed,,Dollar,500 - 1000,High School,>20 years,2019,Less than 1 year,,Increased a little,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,25%,8,7,87.50%,Fairly important,Very important,Very important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Very important,,,Slight positive effect,No effect at all,Slight positive effect,No effect at all,Slight positive effect,Strong positive effect,Slight positive effect,,,New York,
42,42,"Bay View,Howard,Mariner's Harbor,Red Hook,Forest,Wagner",19,Female,Fully employed,,Dollar,Less than 500,High School,10-20 years,2019,Less than 1 year,,Unable to answer because have participated in the garden for so long,Unable to answer because have participated in the garden for so long,Unable to answer because have participated in the garden for so long,Tried 1-2 foods never eaten before,Don't know,25%,40,8,20.00%,Very important,Very important,Very important,Neutral,Neutral,Neutral,Neutral,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Grit,Strong positive effect,New York,
106,106,Nowalijka 6,79,Male,Retired,,Euro,I don't want to answer,High School,Always lived in this country,2010,more than 5 years but less than 10 years,2010,Increased a lot,Increased a lot,Remained about the same,Tried 3 or more foods never eaten before,03-Apr,75%,36,20,55.60%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,Gorzow Wlkp,
107,107,Gorzow 4 ,56,Female,Fully employed,,Euro,500 - 1000,University degree,Always lived in this country,1985,more than 10 years,1985,Increased a little,Increased a little,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,75%,8,8,100.00%,Very important,Very important,Fairly important,Very important,Neutral,Not so important,Not so important,Fairly important,Very important,Very important,Very important,Very important,Very important,,,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
108,108,Gorzow 5,56,Female,Fully employed,,Euro,500 - 1000,High School,Always lived in this country,1995,more than 10 years,1995,Unable to answer because have participated in the garden for so long,Unable to answer because have participated in the garden for so long,Remained about the same,Unable to answer because have participated in the garden for so long,03-Apr,25%,10,10,100.00%,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
109,109,Metalowiec 4,25,Male,Fully employed,,Euro,500 - 1000,Vocational Training,Always lived in this country,2018,1-5 years,2018,Don't Know,Don't Know,Decreased a lot,No,01-Feb,None (0%),42,24,57.10%,Fairly important,Very important,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,,,Gorzow Wlkp,
110,110,Nowalijka 4,69,Male,Retired,,Euro,I don't want to answer,Vocational Training,Always lived in this country,1988,more than 10 years,1988,Increased a little,Increased a lot,Increased a little,Unable to answer because have participated in the garden for so long,7 or more,50%,18,12,66.70%,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,,,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
111,111,Nowalijka 2,70,Male,Retired,,Euro,I don't want to answer,High School,Always lived in this country,1984,more than 10 years,1984,Increased a lot,Increased a lot,Unable to answer because have participated in the garden for so long,Tried 3 or more foods never eaten before,03-Apr,75%,28,28,100.00%,Very important,Very important,Very important,Very important,Neutral,Not so important,No response,Very important,Very important,Neutral,Very important,Very important,Not important at all,,,No effect at all,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,,,Gorzow Wlkp,
112,112,Nowalijka 3,60,Male,Fully employed,,Euro,I don't want to answer,Vocational Training,10-20 years,2002,more than 10 years,2002,Increased a lot,Increased a lot,Increased a lot,Don't know,7 or more,75%,28,20,71.40%,Very important,Fairly important,Very important,Very important,Fairly important,Neutral,Neutral,Neutral,Fairly important,Not so important,Very important,Very important,Not important at all,,,No effect at all,Strong positive effect,Strong positive effect,Strong positive effect,No effect at all,No effect at all,No effect at all,,,Gorzow Wlkp,
113,113,JE4,54,Female,Retired,,Euro,3001 - 4000,Vocational Training,>20 years,,1-5 years,2016,Remained about the same,Remained about the same,Remained about the same,No,03-Apr,50%,20,10,50.00%,Very important,No response,No response,No response,Fairly important,Very important,No response,Not important at all,Fairly important,Not so important,Very important,,,,,,,,,,,,,,Nantes,
114,114,JE9,61,Male,Retired,,Euro,2001 - 3000,Vocational Training,Always lived in this country,,more than 10 years,1980,Increased a lot,Increased a lot,Increased a little,Tried 3 or more foods never eaten before,03-Apr,75%,10,6,60.00%,Very important,No response,No response,No response,Fairly important,Fairly important,No response,Not important at all,Fairly important,Not so important,Fairly important,,,,,,,,,,,,,,Nantes,
115,115,JE37A,62,Male,Retired,,Euro,,Vocational Training,Always lived in this country,1982,more than 5 years but less than 10 years,2014,Increased a little,Increased a little,Remained about the same,No,03-Apr,25%,14,11,78.60%,Fairly important,No response,No response,No response,Fairly important,Fairly important,No response,Not so important,Not so important,Not so important,Fairly important,,,,,,,,,,,,,,Nantes,
116,116,JE39,62,Male,Retired,,Euro,,High School,Always lived in this country,1985,more than 10 years,1985,Remained about the same,Remained about the same,Remained about the same,No,05-Jun,50%,8,8,100.00%,Fairly important,No response,No response,No response,Fairly important,Very important,No response,Fairly important,Very important,Very important,Very important,,,,,,,,,,,,,,Nantes,
117,117,JE50,66,Female,Retired,,Euro,,High School,Always lived in this country,,more than 10 years,1997,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,50%,21,11,52.40%,Very important,No response,No response,No response,Very important,Very important,No response,Not important at all,Very important,Not so important,Fairly important,,,,,,,,,,,,,,Nantes,
118,118,JE52,64,Male,Retired,,Euro,,Vocational Training,Always lived in this country,2002,more than 10 years,2002,Remained about the same,Remained about the same,Remained about the same,No,03-Apr,25%,21,11,52.40%,Very important,No response,No response,No response,Very important,Fairly important,No response,Fairly important,Very important,Very important,No response,,,,,,,,,,,,,,Nantes,
119,119,JE57,69,Male,Retired,,Euro,"more than 4,000",University degree,>20 years,2010,more than 5 years but less than 10 years,2010,Increased a little,Increased a little,Remained about the same,No,03-Apr,50%,25,12,48.00%,Fairly important,No response,No response,No response,Not so important,Very important,,Not important at all,Not important at all,Fairly important,Not so important,,,,,,,,,,,,,,Nantes,
120,120,JE60,69,Female,Retired,,Euro,1501 - 2000,High School,Always lived in this country,,more than 10 years,1999,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,05-Jun,75%,25,19,76.00%,Very important,,,,Very important,Fairly important,,Not so important,Fairly important,Fairly important,Fairly important,,,,,,,,,,,,,,Nantes,
121,121,JE23A,34,Female,Fully employed,,Euro,1501 - 2000,University degree,Always lived in this country,1997,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,No,05-Jun,Don't know,6,6,100.00%,Very important,,,,Very important,Fairly important,,Not so important,Very important,Not important at all,Fairly important,,,,,,,,,,,,,,Nantes,
122,122,JE36,77,Male,Retired,,Euro,2001 - 3000,Vocational Training,Always lived in this country,1957,more than 10 years,1984,Remained about the same,Remained about the same,Remained about the same,No,05-Jun,All (100%),7,,0.00%,Very important,,,,Not important at all,Not so important,,Very important,Not important at all,Not important at all,Very important,,,,,,,,,,,,,,Nantes,
123,123,JE38,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,Nantes,
124,124,Calthorpe,53,Male,Retired,,Pound,1501 - 2000,University degree,Always lived in this country,2016,1-5 years,2017,Increased a little,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,05-Jun,25%,2,2,100.00%,Not important at all,Fairly important,Neutral,Very important,Fairly important,Fairly important,Fairly important,Not important at all,Fairly important,Very important,Fairly important,Fairly important,Not important at all,,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,,,London,Yes
125,125,Calthorpe,,,Part-time employment,part-time student,Pound,I don't want to answer,University degree,Always lived in this country,2019,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,No,03-Apr,None (0%),3,3,100.00%,Not important at all,Fairly important,Fairly important,Very important,Neutral,Neutral,Very important,Not important at all,Fairly important,Fairly important,Very important,Neutral,Fairly important,,,Slight positive effect,Slight positive effect,No effect at all,No effect at all,No effect at all,Slight positive effect,No effect at all,,,London,Yes
126,126,Calthorpe,54,Female,Part-time employment,,Pound,500 - 1000,University degree,>20 years,2009,Less than 1 year,2019,Increased a lot,Increased a lot,Remained about the same,Tried 3 or more foods never eaten before,7 or more,25%,5,4,80.00%,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,London,Yes
127,127,Calthorpe,59,Male,Other,volunteer,Pound,I don't want to answer,Vocational Training,>20 years,2004,more than 5 years but less than 10 years,2010,Increased a lot,Increased a lot,Increased a lot,Tried 1-2 foods never eaten before,05-Jun,50%,8,6,75.00%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,London,Yes
128,128,Calthorpe,55,Female,Fully employed,,Pound,I don't want to answer,Vocational Training,Always lived in this country,2014,1-5 years,2014,Increased a lot,Increased a lot,Increased a lot,Tried 1-2 foods never eaten before,7 or more,25%,5,4,80.00%,Very important,Very important,Very important,Very important,Neutral,Fairly important,Very important,Not important at all,Fairly important,Fairly important,Very important,Neutral,Neutral,,,No effect at all,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,No effect at all,,,London,Yes
129,129,Calthorpe,,Male,"Unemployed,Retired",,Pound,Less than 500,University degree,>20 years,2019,Less than 1 year,2019,Increased a little,Remained about the same,Increased a little,Tried 1-2 foods never eaten before,01-Feb,25%,4,4,100.00%,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Not important at all,Fairly important,Fairly important,Fairly important,Fairly important,Not important at all,fresh delectable air in an asphalt jungle,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,No effect at all,fresh air - proximity to nature,,London,Yes
130,130,Calthorpe,46,Female,,part-time student,Pound,I don't want to answer,Basic School,Always lived in this country,2014,1-5 years,2014,Increased a little,Increased a little,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,None (0%),6,4,66.70%,Neutral,Very important,Neutral,Fairly important,Very important,Very important,Fairly important,Not important at all,Fairly important,Neutral,Neutral,Neutral,Neutral,feeling useful and appreciated,Very important,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Slight positive effect,No effect at all,self-worth,Strong positive effect,London,Yes
131,131,Calthorpe,56,Female,Unemployed,,Pound,500 - 1000,University degree,>20 years,2019,Less than 1 year,2019,Don't Know,Don't Know,Decreased a little,Tried 3 or more foods never eaten before,7 or more,25%,1,1,100.00%,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Neutral,Fairly important,Fairly important,Very important,Very important,Not so important,leaving home,,Strong positive effect,Strong positive effect,No effect at all,Slight positive effect,Strong positive effect,No effect at all,Strong positive effect,,,London,Yes
132,132,Calthorpe,75,Female,Retired,,Pound,Less than 500,University degree,>20 years,2008,more than 5 years but less than 10 years,2008,Increased a lot,Increased a lot,Increased a lot,Tried 3 or more foods never eaten before,05-Jun,50%,6,4,66.70%,Very important,Very important,,Fairly important,Very important,Fairly important,Fairly important,Not important at all,Fairly important,Neutral,Neutral,Fairly important,Very important,outdoor,,Slight negative effect,,Strong positive effect,Slight positive effect,Strong positive effect,Strong negative effect,Strong negative effect,,,London,Yes
133,133,Calthorpe,67,Female,Retired,,Pound,I don't want to answer,I don't want to answer,>20 years,2018,1-5 years,2018,Increased a lot,Increased a lot,Increased a lot,Tried 1-2 foods never eaten before,03-Apr,50%,3,3,100.00%,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Neutral,Fairly important,Fairly important,Fairly important,Fairly important,Not important at all,,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,,,,,London,Yes
134,134,Calthorpe,71,Female,Retired,,Pound,I don't want to answer,University degree,>20 years,2014,1-5 years,2014,Increased a lot,Increased a lot,Decreased a little,Tried 1-2 foods never eaten before,03-Apr,25%,3,2,66.70%,Not important at all,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Not important at all,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,London,Yes
135,135,Calthorpe,73,Female,Retired,,Pound,500 - 1000,High School,10-20 years,2008,more than 10 years,2008,Increased a lot,Increased a lot,Increased a little,Tried 3 or more foods never eaten before,05-Jun,50%,3,3,100.00%,Not so important,Very important,Very important,Very important,Very important,Very important,Very important,Neutral,Very important,Very important,Fairly important,Fairly important,Not so important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong negative effect,Strong negative effect,,,London,Yes
136,136,Calthorpe,16,Male,Full time student,,Pound,I don't want to answer,High School,Always lived in this country,2019,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,No,03-Apr,Don't know,,,NaN,Very important,Fairly important,Not so important,Not so important,Fairly important,Neutral,Neutral,Fairly important,Not so important,Fairly important,Fairly important,Neutral,Fairly important,,,Strong positive effect,No effect at all,No effect at all,Slight positive effect,No effect at all,Slight positive effect,No effect at all,,,London,Yes
137,137,Calthorpe,16,Male,,part time student,Pound,500 - 1000,High School,Always lived in this country,2010,Less than 1 year,2019,Remained about the same,Increased a little,Remained about the same,No,01-Feb,25%,3,0,0.00%,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight negative effect,,,London,Yes
142,142,The Regent's Park Allotment Garden,31,Female,Unemployed,,Pound,500 - 1000,University degree,5-10 years,2009,1-5 years,2015,Increased a little,Increased a little,Increased a lot,Tried 3 or more foods never eaten before,03-Apr,25%,6,5,83.30%,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Fairly important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,Slight positive effect,,,London,Yes
143,143,The Regent's Park Allotment Garden,46,Male,Unemployed,,Pound,Less than 500,University degree,>20 years,1982,Less than 1 year,2019,Increased a little,Remained about the same,Increased a little,Tried 1-2 foods never eaten before,01-Feb,25%,4,3,75.00%,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Very important,Not so important,Fairly important,Fairly important,Fairly important,Fairly important,Neutral,,,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,No effect at all,,,London,Yes
144,144,The Regent's Park Allotment Garden,70,Female,Retired,,Pound,I don't want to answer,I don't want to answer,>20 years,2011,1-5 years,2014,Increased a lot,Remained about the same,Increased a little,Tried 3 or more foods never eaten before,03-Apr,75%,3,2,66.70%,Fairly important,Neutral,Neutral,Fairly important,Fairly important,Neutral,Neutral,Neutral,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,,,Slight positive effect,Strong positive effect,Slight positive effect,Strong positive effect,Slight positive effect,No effect at all,No effect at all,,,London,Yes
145,145,The Regent's Park Allotment Garden,71,Female,Retired,,Pound,I don't want to answer,University degree,>20 years,2017,Less than 1 year,2019,Increased a lot,Increased a little,Increased a lot,Tried 3 or more foods never eaten before,05-Jun,25%,4,3,75.00%,Very important,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Very important,Very important,,,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,,,London,Yes
